-50.0  -24.4181818182
-49.0  -24.2727272727
-48.0  -24.4909090909
-47.0  -24.3454545455
-46.0  -24.2
-45.0  -24.4181818182
-44.0  -24.2727272727
-43.0  -23.9090909091
-42.0  -24.4181818182
-41.0  -24.2
-40.0  -24.6363636364
-39.0  -24.4181818182
-38.0  -24.3454545455
-37.0  -24.1272727273
-36.0  -24.2727272727
-35.0  -24.4181818182
-34.0  -24.6363636364
-33.0  -24.4181818182
-32.0  -24.5636363636
-31.0  -24.9272727273
-30.0  -24.9272727273
-29.0  -25.0
-28.0  -24.6363636364
-27.0  -24.8545454545
-26.0  -24.8545454545
-25.0  -25.0
-24.0  -25.0
-23.0  -25.0
-22.0  -24.8545454545
-21.0  -24.7090909091
-20.0  -24.0545454545
-19.0  -22.7454545455
-18.0  -21.6545454545
-17.0  -22.5272727273
-16.0  -24.3454545455
-15.0  -24.9272727273
-14.0  -24.9272727273
-13.0  -24.8545454545
-12.0  -25.0
-11.0  -25.0
-10.0  -24.9272727273
-9.0  -25.0
-8.0  -24.9272727273
-7.0  -25.0
-6.0  -25.0
-5.0  -25.0
-4.0  -25.0
-3.0  -25.0
-2.0  -25.0
-1.0  -25.0
0.0  -25.0
1.0  -25.0
2.0  -25.0
3.0  -25.0
4.0  -25.0
5.0  -25.0
6.0  -25.0
7.0  -25.0
8.0  -25.0
9.0  -25.0
10.0  -25.0
11.0  -25.0
12.0  -25.0
13.0  -25.0
14.0  -25.0
15.0  -25.0
16.0  -25.0
17.0  -25.0
18.0  -25.0
19.0  -24.9272727273
20.0  -24.9272727273
21.0  -25.0
22.0  -25.0
23.0  -24.7818181818
24.0  -24.9272727273
25.0  -24.9272727273
26.0  -25.0
27.0  -24.9272727273
28.0  -24.9272727273
29.0  -24.4909090909
30.0  -24.5636363636
31.0  -24.5636363636
32.0  -24.4181818182
33.0  -23.1090909091
34.0  -23.8363636364
35.0  -24.2727272727
36.0  -24.0545454545
37.0  -23.6181818182
38.0  -22.6727272727
39.0  -21.5818181818
40.0  -22.5272727273
41.0  -21.0
42.0  -21.8727272727
43.0  -21.4363636364
44.0  -22.7454545455
45.0  -22.2363636364
46.0  -23.1090909091
47.0  -22.7454545455
48.0  -22.5272727273
49.0  -22.2363636364
